lat,lon,data
20.035000,-80.550000,1
20.035350,-80.550000,1
20.035700,-80.550000,1
20.036050,-80.550000,1
20.036400,-80.550000,1
20.036750,-80.550000,1
20.037100,-80.550000,1
20.037450,-80.550000,1
20.037800,-80.550000,1
20.038150,-80.550000,1
20.038500,-80.550000,1
20.038850,-80.550000,1
20.039200,-80.550000,1
20.039550,-80.550000,1
20.039900,-80.550000,1
20.040250,-80.550000,1
20.040600,-80.550000,1
20.040950,-80.550000,1
20.041300,-80.550000,1
20.041650,-80.550000,1
20.042000,-80.550000,1
20.042350,-80.550000,1
20.042700,-80.550000,1
20.043050,-80.550000,1
20.043400,-80.550000,1
20.043750,-80.550000,1
20.044100,-80.550000,1
20.044450,-80.550000,1
20.044800,-80.550000,1
20.045150,-80.550000,1
20.045500,-80.550000,1
20.045850,-80.550000,1
20.046200,-80.550000,1
20.046550,-80.550000,1
20.046900,-80.550000,1
20.047250,-80.550000,1
20.047600,-80.550000,1
20.047950,-80.550000,1
20.048300,-80.550000,1
20.048650,-80.550000,1
20.049000,-80.550000,1
20.049350,-80.550000,1
20.049700,-80.550000,1
20.050050,-80.550000,1
20.050400,-80.550000,1
20.050750,-80.550000,1
20.051100,-80.550000,1
20.051450,-80.550000,1
20.051800,-80.550000,1
20.052150,-80.550000,1
20.052500,-80.550000,1
20.052850,-80.550000,1
20.053200,-80.550000,1
20.053550,-80.550000,1
20.053900,-80.550000,1
20.054250,-80.550000,1
20.054600,-80.550000,1
20.054950,-80.550000,1
20.055300,-80.550000,1
20.055650,-80.550000,1
20.056000,-80.550000,1
20.056350,-80.550000,1
20.056700,-80.550000,2
20.057050,-80.550000,2
20.057400,-80.550000,2
20.057750,-80.550000,2
20.058100,-80.550000,2
20.058450,-80.550000,2
20.058800,-80.550000,2
20.059150,-80.550000,2
20.059500,-80.550000,2
20.059850,-80.550000,2
20.060200,-80.550000,2
20.060550,-80.550000,2
20.060900,-80.550000,2
20.061250,-80.550000,2
20.061600,-80.550000,2
20.061950,-80.550000,2
20.062300,-80.550000,2
20.062650,-80.550000,2
20.063000,-80.550000,2
20.063350,-80.550000,2
20.063700,-80.550000,2
20.064050,-80.550000,2
20.064400,-80.550000,2
20.064750,-80.550000,2
20.065100,-80.550000,2
20.065450,-80.550000,2
20.065800,-80.550000,2
20.066150,-80.550000,2
20.066500,-80.550000,2
20.066850,-80.550000,2
20.067200,-80.550000,2
20.067550,-80.550000,3
20.067900,-80.550000,3
20.068250,-80.550000,3
20.068600,-80.550000,3
20.068950,-80.550000,3
20.069300,-80.550000,3
20.069650,-80.550000,3
20.035000,-80.550450,1
20.035350,-80.550450,1
20.035700,-80.550450,1
20.036050,-80.550450,1
20.036400,-80.550450,1
20.036750,-80.550450,1
20.037100,-80.550450,1
20.037450,-80.550450,1
20.037800,-80.550450,1
20.038150,-80.550450,1
20.038500,-80.550450,1
20.038850,-80.550450,1
20.039200,-80.550450,1
20.039550,-80.550450,1
20.039900,-80.550450,1
20.040250,-80.550450,1
20.040600,-80.550450,1
20.040950,-80.550450,1
20.041300,-80.550450,1
20.041650,-80.550450,1
20.042000,-80.550450,1
20.042350,-80.550450,1
20.042700,-80.550450,1
20.043050,-80.550450,1
20.043400,-80.550450,1
20.043750,-80.550450,1
20.044100,-80.550450,1
20.044450,-80.550450,1
20.044800,-80.550450,1
20.045150,-80.550450,1
20.045500,-80.550450,1
20.045850,-80.550450,1
20.046200,-80.550450,1
20.046550,-80.550450,1
20.046900,-80.550450,1
20.047250,-80.550450,1
20.047600,-80.550450,1
20.047950,-80.550450,1
20.048300,-80.550450,1
20.048650,-80.550450,1
20.049000,-80.550450,1
20.049350,-80.550450,1
20.049700,-80.550450,1
20.050050,-80.550450,1
20.050400,-80.550450,1
20.050750,-80.550450,1
20.051100,-80.550450,1
20.051450,-80.550450,1
20.051800,-80.550450,1
20.052150,-80.550450,1
20.052500,-80.550450,1
20.052850,-80.550450,1
20.053200,-80.550450,1
20.053550,-80.550450,1
20.053900,-80.550450,1
20.054250,-80.550450,1
20.054600,-80.550450,1
20.054950,-80.550450,1
20.055300,-80.550450,1
20.055650,-80.550450,1
20.056000,-80.550450,1
20.056350,-80.550450,1
20.056700,-80.550450,2
20.057050,-80.550450,2
20.057400,-80.550450,2
20.057750,-80.550450,2
20.058100,-80.550450,2
20.058450,-80.550450,2
20.058800,-80.550450,2
20.059150,-80.550450,2
20.059500,-80.550450,2
20.059850,-80.550450,2
20.060200,-80.550450,2
20.060550,-80.550450,2
20.060900,-80.550450,2
20.061250,-80.550450,2
20.061600,-80.550450,2
20.061950,-80.550450,2
20.062300,-80.550450,2
20.062650,-80.550450,2
20.063000,-80.550450,2
20.063350,-80.550450,2
20.063700,-80.550450,2
20.064050,-80.550450,2
20.064400,-80.550450,2
20.064750,-80.550450,2
20.065100,-80.550450,2
20.065450,-80.550450,2
20.065800,-80.550450,2
20.066150,-80.550450,2
20.066500,-80.550450,2
20.066850,-80.550450,2
20.067200,-80.550450,2
20.067550,-80.550450,3
20.067900,-80.550450,3
20.068250,-80.550450,3
20.068600,-80.550450,3
20.068950,-80.550450,3
20.069300,-80.550450,3
20.069650,-80.550450,3
20.035000,-80.550900,1
20.035350,-80.550900,1
20.035700,-80.550900,1
20.036050,-80.550900,1
20.036400,-80.550900,1
20.036750,-80.550900,1
20.037100,-80.550900,1
20.037450,-80.550900,1
20.037800,-80.550900,1
20.038150,-80.550900,1
20.038500,-80.550900,1
20.038850,-80.550900,1
20.039200,-80.550900,1
20.039550,-80.550900,1
20.039900,-80.550900,1
20.040250,-80.550900,1
20.040600,-80.550900,1
20.040950,-80.550900,1
20.041300,-80.550900,1
20.041650,-80.550900,1
20.042000,-80.550900,1
20.042350,-80.550900,1
20.042700,-80.550900,1
20.043050,-80.550900,1
20.043400,-80.550900,1
20.043750,-80.550900,1
20.044100,-80.550900,1
20.044450,-80.550900,1
20.044800,-80.550900,1
20.045150,-80.550900,1
20.045500,-80.550900,1
20.045850,-80.550900,1
20.046200,-80.550900,1
20.046550,-80.550900,1
20.046900,-80.550900,1
20.047250,-80.550900,1
20.047600,-80.550900,1
20.047950,-80.550900,1
20.048300,-80.550900,1
20.048650,-80.550900,1
20.049000,-80.550900,1
20.049350,-80.550900,1
20.049700,-80.550900,1
20.050050,-80.550900,1
20.050400,-80.550900,1
20.050750,-80.550900,1
20.051100,-80.550900,1
20.051450,-80.550900,1
20.051800,-80.550900,1
20.052150,-80.550900,1
20.052500,-80.550900,1
20.052850,-80.550900,1
20.053200,-80.550900,1
20.053550,-80.550900,1
20.053900,-80.550900,1
20.054250,-80.550900,1
20.054600,-80.550900,1
20.054950,-80.550900,1
20.055300,-80.550900,1
20.055650,-80.550900,1
20.056000,-80.550900,1
20.056350,-80.550900,1
20.056700,-80.550900,2
20.057050,-80.550900,2
20.057400,-80.550900,2
20.057750,-80.550900,2
20.058100,-80.550900,2
20.058450,-80.550900,2
20.058800,-80.550900,2
20.059150,-80.550900,2
20.059500,-80.550900,2
20.059850,-80.550900,2
20.060200,-80.550900,2
20.060550,-80.550900,2
20.060900,-80.550900,2
20.061250,-80.550900,2
20.061600,-80.550900,2
20.061950,-80.550900,2
20.062300,-80.550900,2
20.062650,-80.550900,2
20.063000,-80.550900,2
20.063350,-80.550900,2
20.063700,-80.550900,2
20.064050,-80.550900,2
20.064400,-80.550900,2
20.064750,-80.550900,2
20.065100,-80.550900,2
20.065450,-80.550900,2
20.065800,-80.550900,2
20.066150,-80.550900,2
20.066500,-80.550900,2
20.066850,-80.550900,2
20.067200,-80.550900,2
20.067550,-80.550900,3
20.067900,-80.550900,3
20.068250,-80.550900,3
20.068600,-80.550900,3
